"","EMY.z","EMY.p","EMY.FDR","EM.z","EM.p","MY.z","MY.p","CHEBI"
"FSTL3",NA,1,1,1,0.316,0.721,0.471,NA
"SSRP1",NA,1,1,-1.11,0.265,-0.718,0.473,NA
"GPNMB",NA,1,1,2.97,0.00302,0.718,0.473,NA
"TLR2",NA,1,1,0.174,0.862,0.717,0.473,NA
"HDGFRP2",NA,1,1,-0.0657,0.948,-0.716,0.474,NA
"OPCML",NA,1,1,-0.134,0.893,-0.716,0.474,NA
"COLEC12",NA,1,1,0.487,0.626,0.714,0.475,NA
"CHEBI:68444",NA,1,1,-2.37,0.018,-0.713,0.476,"1-methylxanthine"
"FGFR4",NA,1,1,-1.04,0.299,-0.712,0.476,NA
"TMPRSS15",NA,1,1,0.132,0.895,0.708,0.479,NA
"IL7R",NA,1,1,0.561,0.575,0.706,0.48,NA
"RELT",NA,1,1,0.722,0.47,0.705,0.481,NA
"MIF",NA,1,1,-0.941,0.347,-0.699,0.485,NA
"PLA2G7",NA,1,1,-0.661,0.509,-0.698,0.485,NA
"CHEBI:16283",NA,1,1,-0.898,0.369,-0.694,0.488,"cystine"
"ITGA2B",NA,1,1,-0.516,0.606,-0.692,0.489,NA
"HDAC8",NA,1,1,-0.478,0.633,-0.688,0.491,NA
"F5",NA,1,1,-0.606,0.544,-0.686,0.492,NA
"BOC",NA,1,1,0.36,0.719,0.684,0.494,NA
"PLCG1",NA,1,1,-1.14,0.256,-0.684,0.494,NA
"TPSB2",NA,1,1,1.43,0.152,0.682,0.495,NA
"CHEBI:84634",NA,1,1,-0.19,0.849,-0.679,0.497,"myristoylcarnitine"
"CHEBI:18132",NA,1,1,-2.46,0.0141,-0.678,0.498,"choline phosphate"
"APP",NA,1,1,-1.18,0.239,-0.678,0.498,NA
"CA10",NA,1,1,0.868,0.386,0.675,0.5,NA
"CHEBI:70979",NA,1,1,-1.82,0.0688,-0.674,0.5,"isobutyrylglycine"
"CHEBI:17553",NA,1,1,-1.48,0.139,-0.672,0.502,"phosphoethanolamine"
"ROBO3",NA,1,1,0.0146,0.988,0.671,0.502,NA
"SCGB2A1",NA,1,1,-0.21,0.834,-0.67,0.503,NA
"RARRES2",NA,1,1,-1.77,0.0768,-0.67,0.503,NA
"MMP1",NA,1,1,-0.0416,0.967,-0.669,0.504,NA
"CNTFR",NA,1,1,0.921,0.357,0.664,0.507,NA
"CCL20",NA,1,1,-0.311,0.756,-0.662,0.508,NA
"CNTN5",NA,1,1,-1.67,0.0946,-0.658,0.51,NA
"CHEBI:68449",NA,1,1,-2.22,0.0267,-0.656,0.512,"1,7-dimethylurate"
"RB1",NA,1,1,0.0573,0.954,0.655,0.513,NA
"HAVCR2",NA,1,1,3.08,0.00206,0.655,0.513,NA
"CHEBI:27905",NA,1,1,1.93,0.054,0.652,0.514,"phenol sulfate"
"CHEBI:16344",NA,1,1,0.079,0.937,0.651,0.515,"guanidinoacetate"
"DKK1",NA,1,1,-1.18,0.237,-0.65,0.516,NA
"NCR2",NA,1,1,-1.2,0.231,-0.647,0.518,NA
"CHEBI:65101",NA,1,1,-0.407,0.684,-0.641,0.521,"2-hydroxypalmitate"
"CCL16",NA,1,1,0.386,0.7,0.639,0.523,NA
"IGFBP5",NA,1,1,-0.289,0.773,-0.636,0.525,NA
"SELP",NA,1,1,-1.4,0.162,-0.633,0.527,NA
"ICAM2",NA,1,1,1.28,0.2,0.629,0.529,NA
"KLRK1",NA,1,1,-0.92,0.358,-0.627,0.53,NA
"CHEBI:16831",NA,1,1,-0.354,0.723,-0.624,0.533,"3-hydroxy-3-methylglutarate"
"PTPN1",NA,1,1,-0.658,0.511,-0.622,0.534,NA
"SCT",NA,1,1,-0.0582,0.954,-0.621,0.535,NA
"IL22RA2",NA,1,1,1.2,0.232,0.62,0.535,NA
"DLL1",NA,1,1,2.16,0.0309,0.619,0.536,NA
"CHEBI:17724",NA,1,1,-0.54,0.589,-0.618,0.536,"dimethylglycine"
"AHSG",NA,1,1,-0.823,0.41,-0.614,0.539,NA
"CHEBI:32643",NA,1,1,-1.63,0.103,-0.614,0.539,"5-acetylamino-6-formylamino-3-methyluracil"
"CHEBI:15963",NA,1,1,0.349,0.727,0.613,0.54,"ribitol"
"OCIAD1",NA,1,1,-0.352,0.725,-0.612,0.54,NA
"ROR1",NA,1,1,1.93,0.0537,0.612,0.541,NA
"CD300C",NA,1,1,1.01,0.311,0.609,0.543,NA
"SLAMF6",NA,1,1,0.742,0.458,0.607,0.544,NA
"TNFRSF14",NA,1,1,0.625,0.532,0.604,0.546,NA
"PRTN3",NA,1,1,-0.24,0.811,-0.604,0.546,NA
"CXCL16",NA,1,1,0.0442,0.965,0.603,0.546,NA
"PRKACA",NA,1,1,-1.43,0.153,-0.603,0.547,NA
"BCAM",NA,1,1,0.722,0.47,0.597,0.55,NA
"CHEBI:47937",NA,1,1,-1.96,0.0495,-0.595,0.552,"maltose"
"CLEC4M",NA,1,1,0.614,0.539,0.595,0.552,NA
"ENG",NA,1,1,0.268,0.788,0.589,0.556,NA
"MMP2",NA,1,1,1.81,0.071,0.589,0.556,NA
"WFIKKN2",NA,1,1,0.91,0.363,0.586,0.558,NA
"SERPINE1",NA,1,1,-1.62,0.106,-0.578,0.563,NA
"PLA2G2A",NA,1,1,1.14,0.254,0.578,0.564,NA
"IL5RA",NA,1,1,0.834,0.404,0.577,0.564,NA
"CHEBI:48131",NA,1,1,-0.854,0.393,-0.574,0.566,"azelate (nonanedioate)"
"CHEBI:40992",NA,1,1,-0.976,0.329,-0.57,0.569,"N-acetylalanine"
"TNFRSF11B",NA,1,1,2,0.0457,0.567,0.571,NA
"IGFBP4",NA,1,1,0.05,0.96,0.558,0.577,NA
"AGRP",NA,1,1,0.253,0.8,0.555,0.579,NA
"CHEBI:16411",NA,1,1,1.21,0.225,0.553,0.58,"indoleacetate"
"LGALS2",NA,1,1,1.13,0.258,0.552,0.581,NA
"ANGPT1",NA,1,1,-1.46,0.144,-0.551,0.582,NA
"PLAU",NA,1,1,1.4,0.162,0.55,0.582,NA
"CHEBI:28946",NA,1,1,-1.79,0.0736,-0.548,0.584,"theobromine"
"FCGR2B",NA,1,1,0.993,0.321,0.547,0.585,NA
"ENTPD5",NA,1,1,-0.872,0.383,-0.546,0.585,NA
"C7",NA,1,1,0.91,0.363,0.541,0.588,NA
"DPP7",NA,1,1,-0.324,0.746,-0.54,0.589,NA
"CHEBI:1941",NA,1,1,-1.34,0.181,-0.54,0.589,"deoxycarnitine"
"PRKAA2",NA,1,1,-0.86,0.39,-0.538,0.591,NA
"IL10RB",NA,1,1,0.936,0.349,0.537,0.591,NA
"CHEBI:17768",NA,1,1,-2.13,0.0334,-0.533,0.594,"N-acetylputrescine"
"CHEBI:16347",NA,1,1,-0.846,0.398,-0.533,0.594,"carnitine"
"CHEBI:16189",NA,1,1,-1.8,0.0723,-0.53,0.596,"sulfate*"
"BRF1",NA,1,1,-1.24,0.215,-0.523,0.601,NA
"ZAP70",NA,1,1,0.962,0.336,0.523,0.601,NA
"PTEN",NA,1,1,-0.309,0.757,-0.52,0.603,NA
"FUT3",NA,1,1,-1.51,0.131,-0.517,0.605,NA
"CASP10",NA,1,1,-0.81,0.418,-0.515,0.606,NA
"TNFRSF10A",NA,1,1,1.48,0.138,0.509,0.611,NA
"CTSH",NA,1,1,1.3,0.193,0.506,0.613,NA
"SEMA3A",NA,1,1,-0.0527,0.958,-0.504,0.614,NA
"C1QBP",NA,1,1,0.627,0.531,0.498,0.618,NA
"CHEBI:17336",NA,1,1,-4.62,3.82e-06,-0.497,0.619,"retinol (Vitamin A)"
"STX1A",NA,1,1,-1.45,0.146,-0.494,0.621,NA
"AIP",NA,1,1,-0.345,0.73,-0.494,0.621,NA
"LILRB1",NA,1,1,2.69,0.00705,0.493,0.622,NA
"YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ,SFN",NA,1,1,-0.986,0.324,-0.491,0.623,NA
"ECM1",NA,1,1,0.427,0.669,0.483,0.629,NA
"COMMD7",NA,1,1,-0.429,0.668,-0.481,0.63,NA
"SIGLEC6",NA,1,1,1.29,0.196,0.481,0.631,NA
"CTF1",NA,1,1,0.319,0.75,0.48,0.631,NA
"ADGRG5",NA,1,1,-0.318,0.751,-0.475,0.635,NA
"KLK4",NA,1,1,-1.35,0.177,-0.467,0.64,NA
"CASP2",NA,1,1,-1.59,0.113,-0.462,0.644,NA
"ARTN",NA,1,1,0.167,0.867,0.46,0.646,NA
"UNC5D",NA,1,1,1.24,0.214,0.45,0.653,NA
"SET",NA,1,1,-0.679,0.497,-0.448,0.654,NA
"PROK1",NA,1,1,-1.3,0.192,-0.448,0.655,NA
"CASP3",NA,1,1,-0.783,0.433,-0.444,0.657,NA
"CHEBI:28478",NA,1,1,-0.88,0.379,-0.442,0.659,"2-hydroxyphenylacetate"
"EPHB6",NA,1,1,1.88,0.06,0.435,0.664,NA
"HAPLN1",NA,1,1,-0.211,0.833,-0.429,0.668,NA
"CHEBI:16349",NA,1,1,0.801,0.423,0.421,0.674,"citrulline"
"CA4",NA,1,1,2.03,0.042,0.418,0.676,NA
"CHEBI:16870",NA,1,1,-0.00615,0.995,-0.416,0.677,"glycerophosphorylcholine (GPC)"
"CHEBI:30817",NA,1,1,-1.9,0.0571,-0.411,0.681,"trans-urocanate"
"FCER2",NA,1,1,2.28,0.0228,0.407,0.684,NA
"ICAM5",NA,1,1,0.812,0.417,0.403,0.687,NA
"CHEBI:16668",NA,1,1,-0.204,0.839,-0.394,0.694,"hypotaurine"
"TNFSF14",NA,1,1,-0.984,0.325,-0.392,0.695,NA
"BTK",NA,1,1,-0.997,0.319,-0.389,0.697,NA
"CHEBI:25858",NA,1,1,-2.45,0.0144,-0.387,0.699,"paraxanthine"
"PRDX5",NA,1,1,-1.72,0.0851,-0.385,0.7,NA
"CDK5",NA,1,1,0.39,0.696,0.384,0.701,NA
"HTRA2",NA,1,1,-0.689,0.491,-0.379,0.705,NA
"PPIF",NA,1,1,-1.15,0.251,-0.377,0.706,NA
"CHEBI:61988",NA,1,1,-1.48,0.14,-0.376,0.707,"maltotetraose"
"MICB",NA,1,1,0.334,0.738,0.375,0.707,NA
"VCAM1",NA,1,1,2.42,0.0154,0.374,0.708,NA
"DUSP3",NA,1,1,-1.38,0.169,-0.37,0.711,NA
"CHEBI:16974",NA,1,1,0.395,0.693,0.366,0.714,"4-imidazoleacetate"
"MBL2",NA,1,1,-0.0531,0.958,-0.364,0.716,NA
"IBSP",NA,1,1,4.74,2.1e-06,0.363,0.717,NA
"PDGFRB",NA,1,1,0.0498,0.96,0.362,0.717,NA
"CHEBI:28790",NA,1,1,-1.21,0.226,-0.358,0.72,"serotonin"
"CCL3",NA,1,1,-0.81,0.418,-0.358,0.72,NA
"CHEBI:70749",NA,1,1,-0.338,0.736,-0.357,0.721,"hexanoylcarnitine"
"SFTPD",NA,1,1,-1.02,0.307,-0.354,0.723,NA
"CLEC11A",NA,1,1,1.41,0.159,0.354,0.724,NA
"LYN",NA,1,1,-1.07,0.286,-0.353,0.724,NA
"CHEBI:73003",NA,1,1,1.33,0.183,0.349,0.727,"1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4)"
"SCARF1",NA,1,1,0.447,0.655,0.348,0.728,NA
"GP6",NA,1,1,-0.6,0.549,-0.346,0.729,NA
"PRKCB",NA,1,1,-0.984,0.325,-0.344,0.731,NA
"CCL23",NA,1,1,1.77,0.0765,0.342,0.733,NA
"MPO",NA,1,1,-0.466,0.641,-0.341,0.733,NA
"CHEBI:17202",NA,1,1,-1.45,0.148,-0.336,0.737,"inosine 5'-monophosphate (IMP)"
"CHEBI:32796",NA,1,1,-2.49,0.0129,-0.332,0.74,"2-hydroxyglutarate"
"MPL",NA,1,1,-0.222,0.824,-0.329,0.742,NA
"TIMP3",NA,1,1,-1.23,0.218,-0.327,0.744,NA
"CHEBI:30832",NA,1,1,1.95,0.0507,0.324,0.746,"adipate"
"FRZB",NA,1,1,1.57,0.116,0.323,0.746,NA
"CHEBI:82952",NA,1,1,-1.55,0.121,-0.323,0.747,"glutarylcarnitine (C5)"
"C6",NA,1,1,-0.307,0.759,-0.322,0.748,NA
"GRAP2",NA,1,1,1.28,0.201,0.321,0.748,NA
"METAP1",NA,1,1,-0.828,0.408,-0.313,0.754,NA
"PIK3CG",NA,1,1,0.24,0.811,0.31,0.757,NA
"KIR3DS1",NA,1,1,-1.78,0.0751,-0.307,0.759,NA
"CHEBI:27732",NA,1,1,-1.93,0.0532,-0.305,0.76,"caffeine"
"LIN7B",NA,1,1,-1.44,0.149,-0.305,0.76,NA
"CD200R1",NA,1,1,-0.04,0.968,-0.294,0.769,NA
"CHEBI:73004",NA,1,1,1.84,0.0659,0.293,0.769,"1-palmitoyl-GPE (16:0)"
"C1R",NA,1,1,0.367,0.713,0.292,0.77,NA
"MMP12",NA,1,1,3.17,0.00152,0.289,0.773,NA
"SPHK1",NA,1,1,-0.956,0.339,-0.288,0.773,NA
"CD36",NA,1,1,-0.559,0.576,-0.288,0.773,NA
"PDE5A",NA,1,1,-0.862,0.389,-0.281,0.779,NA
"KNG1",NA,1,1,-0.721,0.471,-0.272,0.785,NA
"CHEBI:49584",NA,1,1,-1.63,0.103,-0.27,0.787,"4-ethylphenylsulfate"
"CDK8",NA,1,1,-0.387,0.699,-0.27,0.787,NA
"DYNLRB1",NA,1,1,-1.08,0.279,-0.266,0.791,NA
"ANXA6",NA,1,1,-1.07,0.283,-0.265,0.791,NA
"NID2",NA,1,1,-0.19,0.849,-0.259,0.795,NA
"CSK",NA,1,1,-1.07,0.284,-0.258,0.797,NA
"CX3CL1",NA,1,1,1.59,0.111,0.257,0.797,NA
"FGF20",NA,1,1,-0.634,0.526,-0.255,0.799,NA
"CXCL6",NA,1,1,-0.325,0.745,-0.253,0.8,NA
"CHEBI:53455",NA,1,1,-0.0997,0.921,-0.253,0.8,"xylose"
"PPIB",NA,1,1,1.4,0.163,0.247,0.805,NA
"PTK6",NA,1,1,-0.487,0.626,-0.245,0.806,NA
"PKM2",NA,1,1,-1.17,0.243,-0.245,0.807,NA
"DBNL",NA,1,1,-0.8,0.424,-0.242,0.809,NA
"ADRBK1",NA,1,1,-0.979,0.328,-0.24,0.811,NA
"CHEBI:27596",NA,1,1,0.494,0.621,0.239,0.811,"1-methylhistidine"
"BCL2L1",NA,1,1,-0.683,0.494,-0.239,0.811,NA
"IFNL2",NA,1,1,-1.71,0.0875,-0.234,0.815,NA
"IL1B",NA,1,1,0.942,0.346,0.232,0.817,NA
"GFRA2",NA,1,1,2.89,0.00384,0.229,0.819,NA
"TYRO3",NA,1,1,0.755,0.45,0.228,0.82,NA
"IGHM",NA,1,1,1.37,0.171,0.224,0.823,NA
"NCR3",NA,1,1,1.52,0.128,0.224,0.823,NA
"HIST1H1C",NA,1,1,-0.938,0.348,-0.222,0.825,NA
"SPHK2",NA,1,1,-0.588,0.556,-0.218,0.827,NA
"PDK1",NA,1,1,0.7,0.484,0.218,0.827,NA
"ANXA1",NA,1,1,-0.531,0.595,-0.217,0.828,NA
"HMGB1",NA,1,1,-0.876,0.381,-0.215,0.83,NA
"CHEBI:30913",NA,1,1,0.536,0.592,0.211,0.833,"pipecolate"
"SNX4",NA,1,1,-0.868,0.385,-0.21,0.834,NA
"CHEBI:6801",NA,1,1,-1.68,0.092,-0.207,0.836,"metformin"
"MST1",NA,1,1,0.503,0.615,0.203,0.839,NA
"AKT1",NA,1,1,-0.931,0.352,-0.2,0.841,NA
"IL1RAP",NA,1,1,1.57,0.116,0.197,0.844,NA
"MAPK8",NA,1,1,-1.27,0.205,-0.196,0.845,NA
"CHEBI:32362",NA,1,1,0.308,0.758,0.194,0.846,"heptanoate (7:0)"
"TNFRSF1A",NA,1,1,2.14,0.0327,0.19,0.849,NA
"CLIC1",NA,1,1,-1.08,0.282,-0.19,0.85,NA
"NTN4",NA,1,1,1.87,0.0621,0.189,0.85,NA
"LYZ",NA,1,1,0.573,0.566,0.182,0.856,NA
"HGFAC",NA,1,1,0.684,0.494,0.181,0.856,NA
"CHEBI:72999",NA,1,1,1.33,0.185,0.18,0.857,"1,2-dipalmitoyl-GPC (16:0/16:0)"
"CST6",NA,1,1,0.448,0.654,0.178,0.859,NA
"MAPKAPK2",NA,1,1,-0.76,0.448,-0.176,0.861,NA
"CHEBI:28821",NA,1,1,-1.01,0.313,-0.176,0.861,"piperine"
"CHEBI:21557",NA,1,1,0.364,0.716,0.174,0.862,"N-acetylmethionine"
"RETN",NA,1,1,1.57,0.117,0.17,0.865,NA
"CFL1",NA,1,1,-0.55,0.582,-0.168,0.866,NA
"CXCL1",NA,1,1,-0.949,0.343,-0.166,0.868,NA
"CCDC80",NA,1,1,0.65,0.516,0.165,0.869,NA
"BMP10",NA,1,1,1,0.317,0.162,0.871,NA
"CFH",NA,1,1,-1.58,0.114,-0.162,0.871,NA
"CHEBI:18154",NA,1,1,-1.81,0.0696,-0.16,0.873,"maltotriose"
"ADIPOQ",NA,1,1,1.01,0.313,0.153,0.878,NA
"CHEBI:16857",NA,1,1,0.0629,0.95,0.145,0.885,"threonine"
"TNFRSF1B",NA,1,1,2.27,0.0234,0.145,0.885,NA
"Human-virus",NA,1,1,0.605,0.545,0.144,0.886,NA
"TPSG1",NA,1,1,-1.55,0.121,-0.141,0.888,NA
"HGF",NA,1,1,-0.362,0.717,-0.139,0.89,NA
"AGER",NA,1,1,1.29,0.197,0.123,0.902,NA
"MDK",NA,1,1,-0.195,0.846,-0.1,0.92,NA
"PTHLH",NA,1,1,-1.01,0.313,-0.0969,0.923,NA
"ANG",NA,1,1,0.779,0.436,0.0921,0.927,NA
"CHEBI:28177",NA,1,1,-2.12,0.0341,-0.0908,0.928,"theophylline"
"CHEBI:17196",NA,1,1,-3.06,0.00221,-0.0887,0.929,"asparagine"
"FN1",NA,1,1,0.615,0.538,0.0873,0.93,NA
"IL12B",NA,1,1,-1.35,0.176,-0.0857,0.932,NA
"TNFRSF4",NA,1,1,0.397,0.691,0.0856,0.932,NA
"POR",NA,1,1,-0.434,0.664,-0.0817,0.935,NA
"CHEBI:32111",NA,1,1,-0.756,0.45,-0.0798,0.936,"saccharin"
"CAPG",NA,1,1,1.86,0.063,0.0783,0.938,NA
"CCL14",NA,1,1,1.91,0.0556,0.0667,0.947,NA
"LY9",NA,1,1,0.684,0.494,0.0646,0.948,NA
"CHEBI:30776",NA,1,1,-0.327,0.744,-0.0638,0.949,"caproate (6:0)"
"MAPK14",NA,1,1,-0.721,0.471,-0.0633,0.95,NA
"LTBR",NA,1,1,1.51,0.132,0.0632,0.95,NA
"CXCL3",NA,1,1,-0.437,0.662,-0.0619,0.951,NA
"CHEBI:18367",NA,1,1,-0.656,0.512,-0.0617,0.951,"phosphate"
"PIGR",NA,1,1,0.439,0.661,0.0565,0.955,NA
"CHEBI:35420",NA,1,1,-1.32,0.186,-0.0454,0.964,"pregn steroid monosulfate*"
"PPP3CA",NA,1,1,-0.986,0.324,-0.0451,0.964,NA
"CHEBI:16958",NA,1,1,0.128,0.898,0.0427,0.966,"beta-alanine"
"CHEBI:16393",NA,1,1,-0.809,0.419,-0.0357,0.972,"sphingosine"
"CHEBI:17115",NA,1,1,1.26,0.208,0.0349,0.972,"serine"
"CHEBI:48991",NA,1,1,-2.29,0.0219,-0.0345,0.973,"7-methylxanthine"
"TFF3",NA,1,1,0.0562,0.955,0.0339,0.973,NA
"TNFRSF18",NA,1,1,-0.985,0.325,-0.0249,0.98,NA
"GDF11",NA,1,1,-1.73,0.084,-0.0238,0.981,NA
"TNFRSF12A",NA,1,1,0.51,0.61,0.0236,0.981,NA
"CHEBI:30831",NA,1,1,-1.03,0.301,-0.0213,0.983,"alpha-ketobutyrate"
"CHEBI:16737",NA,1,1,-0.222,0.824,-0.0199,0.984,"creatinine"
"TNFSF4",NA,1,1,0.437,0.662,0.018,0.986,NA
"CHEBI:62490",NA,1,1,2.83,0.00461,0.0155,0.988,"stearoyl sphingomyelin (d18:1/18:0)"
"TYMS",NA,1,1,-0.158,0.875,-0.0133,0.989,NA
"CHEBI:16566",NA,1,1,0.132,0.895,0.012,0.99,"sphinganine"
"CHEBI:16175",NA,1,1,-0.0832,0.934,-0.0113,0.991,"4-cholesten-3-one"
